year,rank,country,score,gdp,life_expectancy,freedom,generosity,corruption,social_support
2020,137,Madagascar,4.165599823,7.281685829,59.10542679,0.557574093,-0.011823639,0.817485631,0.668195903
2020,138,Egypt,4.151400089,9.316541672,61.78015137,0.708354175,-0.196878314,0.787726879,0.735447824
2020,139,Sierra Leone,3.926399946,7.26880312,50.86514282,0.715315044,0.088660747,0.861330688,0.636142015
2020,140,Burundi,3.775300026,6.492642403,53.40000153,0.626350224,-0.017551597,0.606934547,0.490325719
2020,141,Zambia,3.759399891,8.224720001,55.29937744,0.806500256,0.078037128,0.801289678,0.698824465
2020,142,Haiti,3.720799923,7.411329269,55.59862518,0.537825167,0.40053457,0.684767246,0.593247831
2020,143,Lesotho,3.652800083,7.960488319,48.00362396,0.738125861,-0.145732045,0.857392073,0.780495703
2020,144,India,3.573299885,8.849823952,60.21518707,0.881444871,0.057551607,0.772042692,0.592200935
2020,145,Malawi,3.538000107,7.062226295,57.59288788,0.803223193,0.021433279,0.731700778,0.544007301
2020,146,Yemen,3.527400017,7.759682655,56.72728348,0.599920273,-0.157735437,0.800287724,0.817980587
2020,147,Botswana,3.478899956,9.711203575,58.92445374,0.821328104,-0.250394493,0.777930915,0.779121757
2020,148,Tanzania,3.476200104,7.967665195,57.49607468,0.82153976,0.109668687,0.619799435,0.688933194
2020,149,Central African Republic,3.475899935,6.625160217,45.20000076,0.640880644,0.082410358,0.891806662,0.319459856
2020,150,Rwanda,3.312299967,7.600104332,61.09884644,0.900589406,0.055483952,0.183541179,0.54083544
2020,151,Zimbabwe,3.299200058,7.865711689,55.61725998,0.711457908,-0.072063953,0.81023699,0.763092756
2020,152,South Sudan,2.816600084,7.425359726,51,0.451313615,0.016518548,0.763417304,0.553707123
2020,153,Afghanistan,2.566900015,7.462860584,52.59000015,0.396573007,-0.0964294,0.933686554,0.470366955
2021,1,Finland,7.842,10.775,72,0.949,-0.098,0.186,0.954
2021,2,Denmark,7.62,10.933,72.7,0.946,0.03,0.179,0.954
2021,3,Switzerland,7.571,11.117,74.4,0.919,0.025,0.292,0.942
2021,4,Iceland,7.554,10.878,73,0.955,0.16,0.673,0.983
2021,5,Netherlands,7.464,10.932,72.4,0.913,0.175,0.338,0.942
2021,6,Norway,7.392,11.053,73.3,0.96,0.093,0.27,0.954
2021,7,Sweden,7.363,10.867,72.7,0.945,0.086,0.237,0.934
2021,8,Luxembourg,7.324,11.647,72.6,0.907,-0.034,0.386,0.908
2021,9,New Zealand,7.277,10.643,73.4,0.929,0.134,0.242,0.948
2021,10,Austria,7.268,10.906,73.3,0.908,0.042,0.481,0.934
2021,11,Australia,7.183,10.796,73.9,0.914,0.159,0.442,0.94
2021,12,Israel,7.157,10.575,73.503,0.8,0.031,0.753,0.939
2021,13,Germany,7.155,10.873,72.5,0.875,0.011,0.46,0.903
2021,14,Canada,7.103,10.776,73.8,0.915,0.089,0.415,0.926
2021,15,Ireland,7.085,11.342,72.4,0.879,0.077,0.363,0.947
2021,16,Costa Rica,7.069,9.88,71.4,0.934,-0.126,0.809,0.891
2021,17,United Kingdom,7.064,10.707,72.5,0.859,0.233,0.459,0.934
2021,18,Czech Republic,6.965,10.556,70.807,0.858,-0.208,0.868,0.947
2021,19,United States,6.951,11.023,68.2,0.837,0.098,0.698,0.92
2021,20,Belgium,6.834,10.823,72.199,0.783,-0.153,0.646,0.906
2021,21,France,6.69,10.704,74,0.822,-0.147,0.571,0.942
2021,22,Bahrain,6.647,10.669,69.495,0.925,0.089,0.722,0.862
2021,23,Malta,6.602,10.674,72.2,0.927,0.133,0.653,0.931
2021,24,Taiwan Province of China,6.584,10.871,69.6,0.784,-0.07,0.721,0.898
2021,25,United Arab Emirates,6.561,11.085,67.333,0.932,0.074,0.589,0.844
2021,26,Saudi Arabia,6.494,10.743,66.603,0.877,-0.149,0.684,0.891
2021,27,Spain,6.491,10.571,74.7,0.761,-0.081,0.745,0.932
2021,28,Italy,6.483,10.623,73.8,0.693,-0.084,0.866,0.88
2021,29,Slovenia,6.461,10.529,71.4,0.949,-0.101,0.806,0.948
2021,30,Guatemala,6.435,9.053,64.958,0.906,-0.038,0.775,0.813
2021,31,Uruguay,6.431,9.966,69.1,0.896,-0.092,0.59,0.925
2021,32,Singapore,6.377,11.488,76.953,0.927,-0.018,0.082,0.915
2021,33,Kosovo,6.372,9.318,63.813,0.869,0.257,0.917,0.821
2021,34,Slovakia,6.331,10.369,69.201,0.766,-0.124,0.911,0.936
2021,35,Brazil,6.33,9.577,66.601,0.804,-0.071,0.756,0.882
2021,36,Mexico,6.317,9.859,68.597,0.862,-0.147,0.799,0.831
2021,37,Jamaica,6.309,9.186,67.5,0.89,-0.137,0.884,0.877
2021,38,Lithuania,6.255,10.499,67.906,0.773,-0.203,0.826,0.935
2021,39,Cyprus,6.223,10.576,73.898,0.763,-0.015,0.844,0.802
2021,40,Estonia,6.189,10.481,68.8,0.909,-0.106,0.527,0.941
2021,41,Panama,6.18,10.35,69.652,0.872,-0.166,0.856,0.896
2021,42,Uzbekistan,6.179,8.836,65.255,0.97,0.311,0.515,0.918
2021,43,Chile,6.172,10.071,70,0.742,-0.044,0.83,0.882
2021,44,Poland,6.166,10.382,69.702,0.841,-0.165,0.735,0.898
2021,45,Kazakhstan,6.152,10.155,65.2,0.853,-0.069,0.733,0.952
2021,46,Romania,6.14,10.284,67.355,0.845,-0.219,0.938,0.832
2021,47,Kuwait,6.106,10.817,66.9,0.867,-0.104,0.736,0.843
2021,48,Serbia,6.078,9.787,68.6,0.778,0.002,0.835,0.873
2021,49,El Salvador,6.061,9.054,66.402,0.888,-0.11,0.688,0.762
2021,50,Mauritius,6.049,10.008,66.701,0.867,-0.054,0.789,0.905
2021,51,Latvia,6.032,10.315,67.1,0.715,-0.162,0.8,0.927
2021,52,Colombia,6.012,9.557,68.001,0.837,-0.135,0.841,0.847
2021,53,Hungary,5.992,10.358,68,0.755,-0.186,0.876,0.943
2021,54,Thailand,5.985,9.805,67.401,0.884,0.287,0.895,0.888
2021,55,Nicaragua,5.972,8.62,67.657,0.836,0.02,0.664,0.864
2021,56,Japan,5.94,10.611,75.1,0.796,-0.258,0.638,0.884
2021,57,Argentina,5.929,9.962,69,0.828,-0.182,0.834,0.898
2021,58,Portugal,5.929,10.421,72.6,0.892,-0.244,0.887,0.879
2021,59,Honduras,5.919,8.648,67.3,0.857,0.081,0.809,0.812
2021,60,Croatia,5.882,10.217,70.799,0.754,-0.118,0.939,0.924
2021,61,Philippines,5.88,9.076,62,0.917,-0.097,0.742,0.83
2021,62,South Korea,5.845,10.651,73.9,0.672,-0.083,0.727,0.799
2021,63,Peru,5.84,9.458,68.25,0.822,-0.154,0.891,0.832
2021,64,Bosnia and Herzegovina,5.813,9.59,68.098,0.706,0.113,0.931,0.87
2021,65,Moldova,5.766,9.454,65.699,0.822,-0.079,0.918,0.857
2021,66,Ecuador,5.764,9.313,68.8,0.842,-0.124,0.843,0.821
2021,67,Kyrgyzstan,5.744,8.538,64.401,0.935,0.119,0.908,0.893
2021,68,Greece,5.723,10.279,72.6,0.582,-0.288,0.823,0.823
2021,69,Bolivia,5.716,9.046,63.901,0.875,-0.077,0.839,0.81
2021,70,Mongolia,5.677,9.4,62.5,0.708,0.116,0.856,0.935
2021,71,Paraguay,5.653,9.448,65.9,0.876,0.028,0.882,0.893
2021,72,Montenegro,5.581,9.94,68.699,0.708,-0.034,0.812,0.858
2021,73,Dominican Republic,5.545,9.802,66.102,0.86,-0.133,0.714,0.853
2021,74,North Cyprus,5.536,10.576,73.898,0.795,0.012,0.626,0.82
2021,75,Belarus,5.534,9.853,66.253,0.65,-0.18,0.627,0.91
2021,76,Russia,5.477,10.189,64.703,0.718,-0.111,0.845,0.903
2021,77,Hong Kong S.A.R. of China,5.477,11,76.82,0.717,0.067,0.403,0.836
2021,78,Tajikistan,5.466,8.091,64.281,0.832,-0.056,0.553,0.86
2021,79,Vietnam,5.411,8.973,68.034,0.94,-0.098,0.796,0.85
2021,80,Libya,5.41,9.622,62.3,0.771,-0.087,0.667,0.827
2021,81,Malaysia,5.384,10.238,67.102,0.895,0.125,0.839,0.817
2021,82,Indonesia,5.345,9.365,62.236,0.873,0.542,0.867,0.811
2021,83,Congo (Brazzaville),5.342,8.117,58.221,0.695,-0.068,0.745,0.636
2021,84,China,5.339,9.673,69.593,0.904,-0.146,0.755,0.811
2021,85,Ivory Coast,5.306,8.551,50.114,0.741,-0.016,0.794,0.644
2021,86,Armenia,5.283,9.487,67.055,0.825,-0.168,0.629,0.799
2021,87,Nepal,5.269,8.12,64.233,0.782,0.152,0.727,0.774
2021,88,Bulgaria,5.266,10.016,67,0.788,-0.096,0.932,0.931
2021,89,Maldives,5.198,9.826,70.6,0.854,0.024,0.825,0.913
2021,90,Azerbaijan,5.171,9.569,65.656,0.814,-0.223,0.506,0.836
2021,91,Cameroon,5.142,8.189,53.515,0.731,0.026,0.848,0.71
2021,92,Senegal,5.132,8.118,59.802,0.695,-0.046,0.801,0.71
2021,93,Albania,5.117,9.52,68.999,0.785,-0.03,0.901,0.697
2021,94,North Macedonia,5.101,9.693,65.474,0.751,0.038,0.905,0.805
2021,95,Ghana,5.088,8.58,57.586,0.807,0.123,0.848,0.727
2021,96,Niger,5.074,7.098,53.78,0.806,0.018,0.693,0.641
2021,97,Turkmenistan,5.066,9.629,62.409,0.877,0.273,0.888,0.983
2021,98,Gambia,5.051,7.686,55.16,0.697,0.424,0.746,0.69
2021,99,Benin,5.045,8.087,54.713,0.757,-0.034,0.661,0.489
2021,100,Laos,5.03,8.947,58.968,0.91,0.123,0.658,0.728
2021,101,Bangladesh,5.025,8.454,64.8,0.877,-0.041,0.682,0.693
2021,102,Guinea,4.984,7.838,55.008,0.697,0.095,0.766,0.639
2021,103,South Africa,4.956,9.403,56.904,0.749,-0.067,0.86,0.86
2021,104,Turkey,4.948,10.24,67.199,0.576,-0.139,0.776,0.822
2021,105,Pakistan,4.934,8.458,58.709,0.726,0.098,0.787,0.651
2021,106,Morocco,4.918,8.903,66.208,0.774,-0.236,0.801,0.56
2021,107,Venezuela,4.892,9.073,66.7,0.615,-0.169,0.827,0.861
2021,108,Georgia,4.891,9.585,64.3,0.783,-0.238,0.655,0.671
2021,109,Algeria,4.887,9.342,66.005,0.48,-0.067,0.752,0.802
2021,110,Ukraine,4.875,9.436,64.902,0.724,-0.011,0.924,0.888
2021,111,Iraq,4.854,9.24,60.583,0.63,-0.053,0.875,0.746
2021,112,Gabon,4.852,9.603,59.962,0.731,-0.2,0.84,0.776
2021,113,Burkina Faso,4.834,7.678,54.151,0.695,-0.009,0.748,0.672
2021,114,Cambodia,4.83,8.36,62,0.959,0.034,0.843,0.765
2021,115,Mozambique,4.794,7.158,54.706,0.882,0.061,0.684,0.744
2021,116,Nigeria,4.759,8.533,50.102,0.737,0.037,0.878,0.74
2021,117,Mali,4.723,7.744,51.969,0.697,-0.036,0.827,0.724
2021,118,Iran,4.721,9.584,66.3,0.608,0.218,0.714,0.71
2021,119,Uganda,4.636,7.677,56.101,0.709,0.122,0.855,0.781
2021,120,Liberia,4.625,7.288,56.498,0.735,0.05,0.85,0.72
2021,121,Kenya,4.607,8.361,60.704,0.779,0.287,0.825,0.688
2021,122,Tunisia,4.596,9.266,67.201,0.656,-0.201,0.87,0.691
2021,123,Lebanon,4.584,9.626,67.355,0.525,-0.073,0.898,0.848
2021,124,Namibia,4.574,9.161,56.799,0.719,-0.149,0.847,0.818
2021,125,Palestinian Territories,4.517,8.485,62.25,0.653,-0.163,0.821,0.826
2021,126,Myanmar,4.426,8.541,59.302,0.876,0.509,0.66,0.779
2021,127,Jordan,4.395,9.182,67,0.755,-0.167,0.705,0.767
2021,128,Chad,4.355,7.364,48.478,0.579,0.041,0.807,0.619
2021,129,Sri Lanka,4.325,9.47,67.299,0.841,0.079,0.863,0.827
2021,130,Swaziland,4.308,9.065,50.833,0.647,-0.185,0.708,0.77
2021,131,Comoros,4.289,8.031,57.349,0.548,0.082,0.781,0.626
2021,132,Egypt,4.283,9.367,61.998,0.749,-0.182,0.795,0.75
2021,133,Ethiopia,4.275,7.694,59,0.752,0.082,0.761,0.764
2021,134,Mauritania,4.227,8.542,57.161,0.561,-0.106,0.731,0.795
2021,135,Madagascar,4.208,7.396,59.305,0.552,-0.005,0.803,0.686
2021,136,Togo,4.107,7.362,54.914,0.619,0.032,0.772,0.569
2021,137,Zambia,4.073,8.145,55.809,0.782,0.061,0.823,0.708
2021,138,Sierra Leone,3.849,7.434,51.651,0.717,0.084,0.866,0.63
2021,139,India,3.819,8.755,60.633,0.893,0.089,0.774,0.603
2021,140,Burundi,3.775,6.635,53.4,0.626,-0.024,0.607,0.49
2021,141,Yemen,3.658,7.578,57.122,0.602,-0.147,0.8,0.832
2021,142,Tanzania,3.623,7.876,57.999,0.833,0.183,0.577,0.702
2021,143,Haiti,3.615,7.477,55.7,0.593,0.422,0.721,0.54
2021,144,Malawi,3.6,6.958,57.948,0.78,0.038,0.729,0.537
2021,145,Lesotho,3.512,7.926,48.7,0.715,-0.131,0.915,0.787
2021,146,Botswana,3.467,9.782,59.269,0.824,-0.246,0.801,0.784
2021,147,Rwanda,3.415,7.676,61.4,0.897,0.061,0.167,0.552
2021,148,Zimbabwe,3.145,7.943,56.201,0.677,-0.047,0.821,0.75
2021,149,Afghanistan,2.523,7.695,52.493,0.382,-0.102,0.924,0.463
2022,1,Finland,7.821,18.920,7.750,7.360,1.090,5.340,12.580
2022,2,Denmark,7.636,19.530,7.770,7.190,1.880,5.320,12.430
2022,3,Iceland,7.557,19.360,8.030,7.180,2.700,1.910,13.200
2022,4,Switzerland,7.512,20.260,8.220,6.770,1.470,4.610,12.260
2022,5,Netherlands,7.415,19.450,7.870,6.510,2.710,4.190,12.060
2022,6,Luxembourg*,7.404,22.090,7.900,7.000,1.200,3.880,11.550
2022,7,Sweden,7.384,19.200,8.030,7.240,2.180,5.120,12.040
2022,8,Norway,7.365,19.970,7.860,7.280,2.170,4.740,12.390
2022,9,Israel,7.364,18.260,8.180,5.680,1.550,1.430,12.210
2022,10,New Zealand,7.200,18.520,7.520,6.800,2.450,4.830,12.350
2022,11,Austria,7.163,19.310,7.740,6.230,1.930,3.290,11.650
2022,12,Australia,7.162,19.000,7.720,6.760,2.580,3.410,12.030
2022,13,Ireland,7.041,21.290,7.790,6.270,1.900,4.080,11.660
2022,14,Germany,7.034,19.240,7.760,5.850,1.630,3.580,10.880
2022,15,Canada,7.025,18.860,7.830,6.590,2.170,3.680,11.880
2022,16,United States,6.977,19.820,6.280,5.740,2.200,1.770,11.820
2022,17,United Kingdom,6.943,18.670,7.500,5.970,2.890,3.290,11.430
2022,18,Czechia,6.920,18.150,7.150,6.600,1.580,0.480,12.600
2022,19,Belgium,6.805,19.070,7.640,4.920,0.490,2.040,11.060
2022,20,France,6.687,18.630,8.080,5.670,0.700,2.660,12.190
2022,21,Bahrain,6.647,18.540,6.250,6.930,1.990,1.550,10.290
2022,22,Slovenia,6.630,18.100,7.690,6.850,1.180,1.150,12.490
2022,23,Costa Rica,6.582,15.840,7.440,6.610,0.890,1.020,10.540
2022,24,United Arab Emirates,6.576,19.980,6.330,7.020,2.040,2.500,9.800
2022,25,Saudi Arabia,6.523,18.700,5.770,6.510,0.780,1.800,10.920
2022,26,Taiwan Province of China,6.512,18.970,7.330,5.420,0.750,1.680,10.950
2022,27,Singapore,6.480,21.490,8.510,6.720,1.630,5.870,11.270
2022,28,Romania,6.477,17.190,6.550,6.050,0.390,0.060,10.060
2022,29,Spain,6.476,18.080,8.080,5.050,1.010,1.490,12.110
2022,30,Uruguay,6.474,16.150,6.720,6.650,1.030,2.650,11.800
2022,31,Italy,6.467,18.340,8.010,4.120,0.850,0.590,10.520
2022,32,Kosovo,6.455,13.620,5.690,5.990,3.090,0.350,9.490
2022,33,Malta,6.447,18.380,7.890,6.790,1.740,1.660,11.690
2022,34,Lithuania,6.446,18.040,6.590,4.960,0.530,0.770,12.040
2022,35,Slovakia,6.391,17.360,7.070,4.790,1.180,0.250,12.320
2022,36,Estonia,6.341,17.930,7.280,6.890,1.230,3.330,12.320
2022,37,Panama,6.309,17.150,7.090,5.920,0.490,0.510,11.070
2022,38,Brazil,6.293,14.620,6.150,5.460,1.310,1.340,10.440
2022,39,Guatemala*,6.262,12.740,5.220,6.620,1.120,1.150,8.310
2022,40,Kazakhstan,6.234,16.680,6.110,5.840,1.340,1.570,12.200
2022,41,Cyprus,6.221,18.150,8.190,4.480,1.230,0.620,9.090
2022,42,Latvia,6.180,17.320,6.370,5.020,0.750,0.900,12.210
2022,43,Serbia,6.178,15.500,6.580,5.460,2.190,0.880,10.860
2022,44,Chile,6.172,16.510,7.480,4.600,1.240,0.690,10.800
2022,45,Nicaragua,6.165,11.050,6.170,6.170,1.680,2.120,10.290
2022,46,Mexico,6.128,15.520,6.230,6.210,0.920,1.150,8.860
2022,47,Croatia,6.125,17.050,7.090,5.350,1.090,0.000,11.830
2022,48,Poland,6.123,17.580,7.120,5.230,1.240,1.400,11.740
2022,49,El Salvador,6.120,12.650,6.070,6.660,0.890,2.120,7.680
2022,50,Kuwait*,6.106,19.040,7.470,6.170,0.870,1.470,9.830
2022,51,Hungary,6.086,17.480,6.680,4.850,0.780,0.640,12.330
2022,52,Mauritius,6.071,15.910,5.680,5.890,1.310,1.070,11.160
2022,53,Uzbekistan,6.063,12.190,6.000,7.160,2.830,2.400,10.920
2022,54,Japan,6.039,18.350,8.660,5.370,0.070,2.180,10.890
2022,55,Honduras,6.022,11.110,5.550,5.820,2.020,0.760,8.850
2022,56,Portugal,6.016,17.600,7.770,6.550,0.160,0.390,10.780
2022,57,Argentina,5.967,15.920,6.620,5.550,0.810,0.850,11.020
2022,58,Greece,5.948,17.030,7.740,2.490,0.150,1.080,9.800
2022,59,South Korea,5.935,18.510,8.410,4.140,1.110,1.760,8.860
2022,60,Philippines,5.904,12.680,5.140,6.780,1.070,1.420,9.120
2022,61,Thailand,5.891,15.350,6.970,6.170,3.210,0.260,10.960
2022,62,Moldova,5.857,14.170,5.970,5.610,1.020,0.280,10.080
2022,63,Jamaica,5.850,12.960,6.460,5.670,0.800,0.530,10.450
2022,64,Kyrgyzstan,5.828,10.690,6.380,6.930,2.080,0.250,11.090
2022,65,Belarus*,5.821,15.620,6.290,3.420,0.400,2.820,11.570
2022,66,Colombia,5.781,14.520,7.200,5.450,0.870,0.770,9.290
2022,67,Bosnia and Herzegovina,5.768,14.680,6.650,4.480,2.440,0.060,10.680
2022,68,Mongolia,5.761,13.930,4.670,3.980,2.470,0.590,11.970
2022,69,Dominican Republic,5.737,15.380,5.770,6.060,0.840,1.790,10.030
2022,70,Malaysia,5.711,16.890,6.200,6.540,2.130,1.260,9.380
2022,71,Bolivia,5.600,12.560,5.550,6.270,1.120,0.640,8.800
2022,72,China,5.585,15.080,7.050,6.560,0.990,1.420,9.580
2022,73,Paraguay,5.578,14.090,6.240,6.290,1.710,0.590,11.300
2022,74,Peru,5.559,13.970,7.350,5.450,0.900,0.370,8.650
2022,75,Montenegro,5.547,15.730,6.590,4.600,1.350,0.770,10.230
2022,76,Ecuador,5.533,13.520,7.080,5.650,0.800,0.830,8.790
2022,77,Vietnam,5.485,12.520,6.110,7.070,1.430,1.050,9.320
2022,78,Turkmenistan*,5.474,14.840,5.160,6.490,3.140,0.320,13.190
2022,79,North Cyprus*,5.467,18.150,8.190,5.230,1.300,2.130,8.880
2022,80,Russia,5.459,16.850,5.860,4.010,1.170,0.800,10.950
2022,81,Hong Kong S.A.R. of China,5.425,19.570,9.420,4.000,1.470,3.830,9.540
2022,82,Armenia,5.399,14.340,6.680,5.580,0.540,2.100,8.200
2022,83,Tajikistan,5.377,9.660,5.180,5.720,1.180,3.040,10.050
2022,84,Nepal,5.377,9.840,4.990,5.190,2.370,1.300,7.840
2022,85,Bulgaria,5.371,16.250,6.400,5.630,1.230,0.210,11.630
2022,86,Libya*,5.330,14.760,6.060,4.770,1.060,1.790,9.430
2022,87,Indonesia,5.240,13.820,5.390,6.200,4.680,0.470,8.830
2022,88,Ivory Coast,5.235,10.940,3.220,4.510,1.490,1.240,4.420
2022,89,North Macedonia,5.199,15.050,6.370,4.880,2.150,0.310,8.630
2022,90,Albania,5.199,14.390,7.190,5.110,1.380,0.280,6.460
2022,91,South Africa,5.194,14.250,3.610,4.420,0.890,0.460,10.880
2022,92,Azerbaijan*,5.173,14.580,5.600,6.010,0.230,3.410,10.930
2022,93,Gambia*,5.164,7.850,3.690,3.670,3.880,1.030,6.210
2022,94,Bangladesh,5.155,10.600,5.810,6.220,1.250,1.870,6.140
2022,95,Laos,5.140,12.390,4.790,6.790,1.970,1.840,6.540
2022,96,Algeria,5.122,13.630,6.430,1.460,1.060,1.500,9.700
2022,97,Liberia*,5.122,6.360,3.090,4.050,1.780,0.800,6.700
2022,98,Ukraine,5.084,14.110,5.830,4.730,1.880,0.170,10.810
2022,99,Congo,5.075,9.500,3.550,4.310,1.300,1.460,4.050
2022,100,Morocco,5.060,12.080,5.650,4.920,0.200,1.020,2.680
2022,101,Mozambique,5.048,5.780,1.910,5.930,1.850,2.000,6.600
2022,102,Cameroon,5.048,9.680,3.170,3.970,1.520,0.740,6.720
2022,103,Senegal,5.046,9.330,4.470,4.940,1.430,0.810,5.300
2022,104,Niger*,5.003,5.700,3.260,5.710,1.650,1.450,5.600
2022,105,Georgia,4.973,14.670,5.950,5.080,0.000,2.080,6.120
2022,106,Gabon,4.958,14.590,3.960,3.430,0.320,0.990,7.380
2022,107,Iraq,4.941,12.890,5.540,3.280,1.470,0.460,6.820
2022,108,Venezuela,4.925,0.000,5.780,2.830,2.250,0.820,9.680
2022,109,Guinea,4.891,8.480,2.750,3.340,2.140,1.160,5.660
2022,110,Iran,4.888,14.100,6.420,2.810,2.410,1.460,7.410
2022,111,Ghana,4.872,11.120,4.090,5.000,2.300,0.560,5.950
2022,112,Turkey,4.744,17.070,7.020,2.090,0.870,1.150,8.650
2022,113,Burkina Faso,4.670,7.790,3.200,3.820,1.860,1.260,5.650
2022,114,Cambodia,4.640,10.190,5.050,7.400,1.660,0.680,7.320
2022,115,Benin,4.623,9.320,3.350,4.790,1.270,2.300,0.640
2022,116,Comoros*,4.609,8.990,4.240,1.850,1.950,1.250,4.760
2022,117,Uganda,4.603,7.770,4.180,4.020,2.220,0.660,8.750
2022,118,Nigeria,4.552,10.790,3.000,4.440,1.750,0.380,7.320
2022,119,Kenya,4.543,10.320,4.010,4.400,3.220,0.820,6.050
2022,120,Tunisia,4.516,13.500,6.560,3.160,0.290,0.290,5.960
2022,121,Pakistan,4.516,10.490,3.740,4.480,1.810,1.120,4.130
2022,122,Palestinian Territories*,4.483,11.480,5.210,3.360,0.730,0.790,9.570
2022,123,Mali,4.479,7.920,3.110,3.500,1.280,0.420,4.830
2022,124,Namibia,4.459,12.920,3.540,3.840,0.670,0.710,8.770
2022,125,"Eswatini, Kingdom of*",4.396,12.740,1.970,2.590,0.380,1.540,7.860
2022,126,Myanmar,4.394,10.380,4.910,5.130,4.520,1.940,8.290
2022,127,Sri Lanka,4.362,14.150,6.600,5.290,1.500,0.790,9.340
2022,128,Madagascar*,4.339,6.700,3.780,2.020,1.430,1.540,6.450
2022,129,Egypt,4.288,13.880,5.480,4.690,0.410,2.540,7.320
2022,130,Chad*,4.251,6.620,2.250,1.800,1.820,0.770,5.060
2022,131,Ethiopia,4.241,7.880,4.570,4.720,2.050,1.360,8.090
2022,132,Yemen*,4.197,6.910,3.840,3.300,0.900,0.980,10.430
2022,133,Mauritania*,4.153,11.000,4.500,3.040,0.880,1.380,8.650
2022,134,Jordan,4.152,13.240,6.750,4.760,0.580,2.000,7.240
2022,135,Togo,4.112,7.710,3.600,2.920,1.740,1.320,3.220
2022,136,India,3.777,11.670,4.710,6.470,1.980,1.230,3.760
2022,137,Zambia,3.760,9.300,3.060,5.250,2.030,0.830,5.770
2022,138,Malawi,3.750,6.480,3.880,4.770,1.400,1.570,2.790
2022,139,Tanzania,3.702,8.480,4.250,5.780,2.480,2.700,5.970
2022,140,Sierra Leone,3.574,6.860,2.730,3.870,2.020,0.550,4.160
2022,141,Lesotho*,3.512,8.390,0.000,4.190,0.760,0.180,8.480
2022,142,Botswana*,3.471,15.030,2.800,5.710,0.120,1.020,8.150
2022,143,Rwanda*,3.268,7.850,4.620,6.210,1.870,5.440,1.330
2022,144,Zimbabwe,2.995,9.470,2.700,3.290,1.060,1.050,6.900
2022,145,Lebanon,2.955,13.920,6.310,1.030,0.820,0.340,4.980
2022,146,Afghanistan,2.404,7.580,2.890,0.000,0.890,0.050,0.000
